customer_id,customer,categories_selected,total_spent
26241,Customer_26241,7,121047.8
52297,Customer_52297,7,107812.68
41157,Customer_41157,7,105187.1
84144,Customer_84144,7,103326.02
46860,Customer_46860,7,100298.43
81900,Customer_81900,7,127465.68
17271,Customer_17271,7,103096.35
97920,Customer_97920,7,117591.17
90203,Customer_90203,7,109729.63
18149,Customer_18149,7,101780.7
46060,Customer_46060,7,115805.04
90970,Customer_90970,7,111172.63
17979,Customer_17979,7,132436.51
60321,Customer_60321,7,108877.45
60430,Customer_60430,7,100107.36
41084,Customer_41084,7,105065.3
76094,Customer_76094,7,119256.5
60620,Customer_60620,7,110953.51
28078,Customer_28078,7,115138.03
67631,Customer_67631,7,106734.26
68399,Customer_68399,7,119426.7
53139,Customer_53139,7,127296.52
69369,Customer_69369,7,115759.04
97359,Customer_97359,7,100789.13
17867,Customer_17867,7,105736.33
21874,Customer_21874,7,100355.71
1604,Customer_1604,7,102983.2
83416,Customer_83416,7,103687.18
10091,Customer_10091,7,103150.39
38468,Customer_38468,7,110084.32
27963,Customer_27963,7,115995.79
9380,Customer_9380,7,104737.53
5659,Customer_5659,7,104255.74
45464,Customer_45464,7,106762.54
20488,Customer_20488,7,100163.42
73285,Customer_73285,7,107925.07
8624,Customer_8624,7,100630.02
53766,Customer_53766,7,105843.65
65048,Customer_65048,7,104933.18
83413,Customer_83413,7,113057.82
41565,Customer_41565,7,101725.14
34497,Customer_34497,7,102694.4
59554,Customer_59554,7,109624.45
97316,Customer_97316,7,106783.84
51463,Customer_51463,7,100059.15
82672,Customer_82672,7,104905.22
44108,Customer_44108,7,128065.03
82641,Customer_82641,7,101374.68
78192,Customer_78192,7,130755.98
84475,Customer_84475,7,101200.42
41205,Customer_41205,7,101944.67
90316,Customer_90316,7,107086.78
34537,Customer_34537,7,100749.06
58116,Customer_58116,7,120174.02
35775,Customer_35775,7,115203.46
33640,Customer_33640,7,108298.61
64868,Customer_64868,7,109879.0
22192,Customer_22192,7,102491.42
96480,Customer_96480,7,102084.95
38659,Customer_38659,7,104970.44
27942,Customer_27942,7,116626.28
51925,Customer_51925,7,102922.39
21025,Customer_21025,7,100611.5
6629,Customer_6629,7,116582.45
23102,Customer_23102,7,108547.63
50662,Customer_50662,7,101684.42
81334,Customer_81334,7,103119.48
67145,Customer_67145,7,109458.63
79759,Customer_79759,7,102482.4
67142,Customer_67142,7,100772.42
74471,Customer_74471,7,119822.62
66892,Customer_66892,7,110852.39
45631,Customer_45631,7,144546.88
90552,Customer_90552,7,117097.1
85855,Customer_85855,7,113605.37
53605,Customer_53605,7,124224.08
53768,Customer_53768,7,113366.57
61266,Customer_61266,7,100309.93
67605,Customer_67605,7,113743.46
31162,Customer_31162,7,101941.37
78244,Customer_78244,7,130693.33
45000,Customer_45000,7,110050.51
71835,Customer_71835,7,103799.38
44567,Customer_44567,7,102307.91
59725,Customer_59725,7,104177.27
8958,Customer_8958,7,107948.57
47518,Customer_47518,7,100555.56
29268,Customer_29268,7,108225.71
37228,Customer_37228,7,103504.83
33517,Customer_33517,7,107451.92
58447,Customer_58447,7,115252.62
53081,Customer_53081,7,100865.99
348,Customer_348,7,106496.26
71656,Customer_71656,7,103350.0
78169,Customer_78169,7,101872.15
82574,Customer_82574,7,119603.25
40476,Customer_40476,7,101527.73
74734,Customer_74734,7,109719.66
29950,Customer_29950,7,103934.95
74324,Customer_74324,7,117677.63
1897,Customer_1897,7,105718.67
84641,Customer_84641,7,102786.05
94619,Customer_94619,7,100302.84
61218,Customer_61218,7,153067.55
85132,Customer_85132,7,102621.88
